World Ranking,University Name,Country,International Student Ranking,Population of host city,Uni enrolment
42,The University of Sydney,Australia,20,5.312 million,54306
442,Auckland University of Technology,New Zealand,21,1.696 million,29000
38,The University of Melbourne,Australia,23,5.078 million,52257
58,Monash University,Australia,27,5.078 million,64479
29,Australian National University (ANU),Australia,30,426700,20934
47,The University of Queensland (UQ),Australia,34,2.514 million,48771
106,The University of Adelaide,Australia,39,1.346 million,26383
442,Bond University,Australia,41,717200,6062
356,Lincoln University,New Zealand,43,624200,2695
86,The University of Western Australia (UWA),Australia,44,2.059 million,25837
43,The University of New South Wales (UNSW),Australia,48,5.312 million,52326
291,University of Tasmania,Australia,70,246970,26812
400,La Trobe University,Australia,74,5.078 million,33892
237,Macquarie University,Australia,75,5.312 million,38793
287,Massey University,New Zealand,83,80300,30883
140,University of Technology Sydney (UTS),Australia,88,5.312 million,37638
238,RMIT University,Australia,95,5.078 million,57433
83,The University of Auckland,New Zealand,100,1.696 million,40000
383,Swinburne University of Technology,Australia,103,5.078 million,31786
424,Flinders University,Australia,117,1.346 million,22807
212,University of Wollongong,Australia,123,302700,30554
266,University of Waikato,New Zealand,152,169300,12500
377,James Cook University (JCU),Australia,154,180800,21889
271,Deakin University,Australia,156,5.078 million,45900
227,University of Canterbury,New Zealand,213,377200,17299
207,University of Newcastle,Australia,217,481200,36448
176,University of Otago,New Zealand,219,104500,18421
215,Victoria University of Wellington,New Zealand,238,418500,22000
274,University of South Australia (UniSA),Australia,244,1.346 million,32948
468,Western Sydney University,Australia,265,5.312 million,41864
224,Queensland University of Technology (QUT),Australia,276,2.514 million,45580
230,Curtin University,Australia,281,2.059 million,48263
320,Griffith University,Australia,339,717200,43196
